County,,Urbanicity,population,prison_population,percent incercerated,,Total Returned 2012,Total Released 2012,Rate Return (36 months) 2012,Total Returned 2013,Total Released 2013,Rate Return (36 mo) 2013,Total Return 2014,Total Released 2014,Return Rate (36 mo) 2014,,,# Primary Care Physicians,% Primary Care Physicians,# Mental Health Providers,% Mental Health Providers,,Graduation Rate,% Children in Poverty,80th Percentile Income,20th Percentile Income,Household Income,Residential segregation - black/white Segregation Index,Residential segregation - non-white/white Segregation Index,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Not Proficient in English,,year
St Johns,,suburban,139527,818,0.005862665,,68,280,24.30%,77,305,25.20%,82,311,26.40%,,,205,0.00146925,264,0.001892107,,90,9,141440,30161,78544,47,31,21.9,19.3,5.2,0.3,2.9,0.2,9.8,0.7,,
St Lucie,,small/mid,175629,2013,0.011461661,,130,585,22.20%,148,627,23.60%,103,540,19.10%,,,118,0.000671871,406,0.002311691,,75,26,85843,19311,45509,35,30,20.2,23.5,19.3,0.5,1.9,0.1,6.6,4.3,,
Santa Rosa,,small/mid,109054,735,0.00673978,,58,259,22.40%,45,231,19.50%,51,224,22.80%,,,118,0.001082033,87,0.00079777,,83,15,107717,27131,62668,37,26,22.3,15.2,6.2,0.9,2.1,0.1,18.3,0.7,,
Sarasota,,small/mid,213415,1485,0.006958274,,120,431,27.80%,127,427,29.70%,107,448,23.90%,,,321,0.001504112,681,0.003190966,,79,18,103786,24118,55088,64,40,14.5,35.4,4.4,0.3,1.7,0.2,5.4,2,,
Seminole,,suburban,302589,1560,0.005155508,,88,363,24.20%,119,397,30.00%,116,426,27.20%,,,348,0.001150075,675,0.002230749,,86,14,113618,25876,61253,33,23,21.1,15.2,11.1,0.4,4.5,0.1,8.9,2.5,,
Sumter,,small/mid,46320,285,0.00615285,,30,109,27.50%,23,94,24.50%,23,100,23.00%,,,41,0.000885147,48,0.001036269,,78,29,94359,24944,56568,60,53,7.1,56.3,7.2,0.4,0.9,0.1,20.4,1.1,,
Suwanee,,rural,27360,407,0.014875731,,36,140,25.70%,47,158,29.70%,41,150,27.30%,,,7,0.000255848,13,0.000475146,,68,30,74792,15941,40572,42,34,21,20.4,12.9,0.7,0.7,0.1,5.5,2.3,,
Taylor,,rural,14850,223,0.015016835,,29,99,29.30%,24,101,23.80%,38,89,42.70%,,,8,0.000538721,4,0.00026936,,68,30,70476,19125,40180,50,43,19.5,19.2,19.6,0.9,0.9,0.1,9.1,1,,
Union,,rural,10880,73,0.006709559,,8,25,32.00%,6,29,20.70%,7,21,33.30%,,,4,0.000367647,9,0.000827206,,78,26,75534,16228,43795,23,19,19.1,13,22.3,0.6,0.6,0,4.2,0.5,,
Volusia,,small/mid,315070,2944,0.009343955,,253,835,30.30%,248,845,29.30%,254,872,29.10%,,,366,0.001161647,635,0.002015425,,72,20,83471,19347,45356,50,40,17.8,24,10.3,0.5,1.9,0,5.8,1.6,,
Wakulla,,small/mid,21818,141,0.006462554,,12,68,17.60%,19,82,23.20%,11,51,21.60%,,,9,0.000412503,12,0.000550005,,78,18,89784,24437,56158,14,18,21.3,14.3,13.9,0.7,0.7,0.1,13,0.5,,
Walton,,small/mid,39519,383,0.009691541,,13,2,21.00%,19,85,22.40%,22,68,32.40%,,,31,0.000784433,41,0.001037476,,74,21,100278,20993,54686,47,25,20.2,19.5,5.3,0.8,1.2,0.1,3.8,1.5,,
Washington,,rural,16204,203,0.012527771,,8,52,15.40%,18,86,20.90%,19,80,23.80%,,,7,0.000431992,4,0.000246853,,70,32,72912,14603,34787,31,24,19.9,17.7,14.9,1.4,0.6,0.2,6.1,0.7,,
